GAME_DATE,HOME_TEAM,AWAY_TEAM,LOCATION,GAME_TIME
2024-03-16,kansas city current,portland thorns fc,CPKC Stadium,-
2024-03-16,racing louisville fc,orlando pride,Lynn Family Stadium,-
2024-03-16,north carolina courage,houston dash,WakeMed Soccer Park,-
2024-03-16,utah royals fc,chicago red stars,America First Field,-
2024-03-17,seattle reign,washington spirit,Lumen Field,-
2024-03-17,angel city fc,bay fc,BMO Stadium,-
2024-03-22,orlando pride,angel city fc,Inter&Co Stadium,-
2024-03-22,utah royals fc,north carolina courage,America First Field,-
2024-03-23,chicago red stars,seattle reign,SeatGeek Stadium,-
2024-03-23,washington spirit,bay fc,Audi Field,-
2024-03-23,houston dash,racing louisville fc,Shell Energy Stadium,-
2024-03-23,san diego wave fc,kansas city current,Snapdragon Stadium,-
2024-03-24,portland thorns fc,nj ny gotham fc,Providence Park,-
2024-03-29,orlando pride,chicago red stars,Inter&Co Stadium,-
2024-03-29,san diego wave fc,seattle reign,Snapdragon Stadium,-
2024-03-30,kansas city current,angel city fc,CPKC Stadium,-
2024-03-30,north carolina courage,nj ny gotham fc,WakeMed Soccer Park,-
2024-03-30,portland thorns fc,racing louisville fc,Providence Park,-
2024-03-30,bay fc,houston dash,PayPal Park,-
2024-03-31,washington spirit,utah royals fc,Audi Field,-
2024-04-12,houston dash,washington spirit,Shell Energy Stadium,8:00 PM ET
2024-04-12,utah royals fc,orlando pride,America First Field,9:30 PM ET
2024-04-13,north carolina courage,portland thorns fc,WakeMed Soccer Park,7:00 PM ET
2024-04-13,racing louisville fc,san diego wave fc,Lynn Family Stadium,7:30 PM ET
2024-04-13,chicago red stars,angel city fc,SeatGeek Stadium,9:30 PM ET
2024-04-14,nj ny gotham fc,kansas city current,Red Bull Arena,6:00 PM ET
2024-04-14,bay fc,seattle reign,PayPal Park,8:00 PM ET
2024-04-19,orlando pride,san diego wave fc,Inter&Co Stadium,8:00 PM ET
2024-04-20,washington spirit,nj ny gotham fc,Audi Field,1:00 PM ET
2024-04-20,racing louisville fc,utah royals fc,Lynn Family Stadium,5:00 PM ET
2024-04-20,kansas city current,bay fc,CPKC Stadium,7:30 PM ET
2024-04-20,portland thorns fc,houston dash,Providence Park,10:00 PM ET
2024-04-21,seattle reign,chicago red stars,Lumen Field,6:00 PM ET
2024-04-21,angel city fc,north carolina courage,BMO Stadium,7:30 PM ET
2024-04-26,washington spirit,orlando pride,Audi Field,7:30 PM ET
2024-04-26,angel city fc,kansas city current,BMO Stadium,10:00 PM ET
2024-04-27,north carolina courage,seattle reign,WakeMed Soccer Park,7:00 PM ET
2024-04-27,utah royals fc,houston dash,America First Field,7:30 PM ET
2024-04-27,chicago red stars,portland thorns fc,SeatGeek Stadium,7:30 PM ET
2024-04-27,san diego wave fc,bay fc,Snapdragon Stadium,10:00 PM ET
2024-04-28,nj ny gotham fc,racing louisville fc,Red Bull Arena,5:00 PM ET
2024-05-01,orlando pride,north carolina courage,Inter&Co Stadium,7:00 PM ET
2024-05-01,chicago red stars,washington spirit,SeatGeek Stadium,8:00 PM ET
2024-05-01,bay fc,portland thorns fc,PayPal Park,10:00 PM ET
2024-05-03,utah royals fc,angel city fc,America First Field,9:30 PM ET
2024-05-03,seattle reign,san diego wave fc,Lumen Field,10:00 PM ET
2024-05-04,nj ny gotham fc,north carolina courage,Red Bull Arena,7:30 PM ET
2024-05-04,portland thorns fc,washington spirit,Providence Park,10:00 PM ET
2024-05-05,houston dash,kansas city current,Shell Energy Stadium,1:00 PM ET
2024-05-05,orlando pride,racing louisville fc,Inter&Co Stadium,6:00 PM ET
2024-05-05,bay fc,chicago red stars,PayPal Park,8:00 PM ET
2024-05-08,houston dash,nj ny gotham fc,Shell Energy Stadium,8:00 PM ET
2024-05-08,san diego wave fc,utah royals fc,Snapdragon Stadium,10:00 PM ET
2024-05-08,seattle reign,kansas city current,Lumen Field,10:00 PM ET
2024-05-10,racing louisville fc,washington spirit,Lynn Family Stadium,8:00 PM ET
2024-05-11,orlando pride,bay fc,Inter&Co Stadium,7:30 PM ET
2024-05-11,portland thorns fc,seattle reign,Providence Park,10:00 PM ET
2024-05-12,chicago red stars,utah royals fc,SeatGeek Stadium,5:30 PM ET
2024-05-12,kansas city current,north carolina courage,CPKC Stadium,6:00 PM ET
2024-05-12,angel city fc,houston dash,BMO Stadium,7:30 PM ET
2024-05-12,san diego wave fc,nj ny gotham fc,Snapdragon Stadium,8:00 PM ET
2024-05-17,houston dash,portland thorns fc,Shell Energy Stadium,8:00 PM ET
2024-05-17,north carolina courage,utah royals fc,WakeMed Soccer Park,8:00 PM ET
2024-05-17,bay fc,san diego wave fc,PayPal Park,10:30 PM ET
2024-05-18,washington spirit,angel city fc,Audi Field,7:30 PM ET
2024-05-18,kansas city current,racing louisville fc,CPKC Stadium,9:30 PM ET
2024-05-19,nj ny gotham fc,chicago red stars,Red Bull Arena,5:00 PM ET
2024-05-19,seattle reign,orlando pride,Lumen Field,6:00 PM ET
2024-05-23,angel city fc,san diego wave fc,BMO Stadium,10:00 PM ET
