GAME_DATE,HOME_TEAM,AWAY_TEAM,LOCATION,GAME_TIME
2024-05-14,Washington Mystics,New York Liberty,"Entertainment and Sports Arena Washington, DC",8:00PM GMT-3
2024-05-14,Connecticut Sun,Indiana Fever,"Mohegan Sun Arena Uncasville, CT",9:00PM GMT-3
2024-05-14,Las Vegas Aces,Phoenix Mercury,"Michelob ULTRA Arena Las Vegas, NV",11:00PM GMT-3
2024-05-14,Seattle Storm,Minnesota Lynx,"Climate Pledge Arena Seattle, WA",11:00PM GMT-3
2024-05-15,Dallas Wings,Chicago Sky,"College Park Center Arlington, TX",9:00PM GMT-3
2024-05-15,Los Angeles Sparks,Atlanta Dream,"Walter Pyramid at Long Beach State Long Beach, CA",11:00PM GMT-3
2024-05-16,Indiana Fever,New York Liberty,"Gainbridge Fieldhouse Indianapolis, IN",8:00PM GMT-3
2024-05-17,Connecticut Sun,Washington Mystics,"Mohegan Sun Arena Uncasville, CT",8:30PM GMT-3
2024-05-17,Minnesota Lynx,Seattle Storm,"Target Center Minneapolis, MN",10:30PM GMT-3
2024-05-18,New York Liberty,Indiana Fever,"Barclays Center Brooklyn, NY",2:00PM GMT-3
2024-05-18,Las Vegas Aces,Los Angeles Sparks,"Michelob ULTRA Arena Las Vegas, NV",4:00PM GMT-3
2024-05-18,Dallas Wings,Chicago Sky,"College Park Center Arlington, TX",9:00PM GMT-3
2024-05-18,Phoenix Mercury,Atlanta Dream,"Footprint Center Phoenix, AZ",11:00PM GMT-3
2024-05-19,Washington Mystics,Seattle Storm,"Entertainment and Sports Arena Washington, DC",4:00PM GMT-3
2024-05-20,Indiana Fever,Connecticut Sun,"Gainbridge Fieldhouse Indianapolis, IN",1:00PM GMT-3
2024-05-20,New York Liberty,Seattle Storm,"Barclays Center Brooklyn, NY",8:00PM GMT-3
2024-05-21,Atlanta Dream,Dallas Wings,"Gateway Center Arena @ College Park Atlanta, GA",8:30PM GMT-3
2024-05-21,Las Vegas Aces,Phoenix Mercury,"Michelob ULTRA Arena Las Vegas, NV",11:00PM GMT-3
2024-05-21,Los Angeles Sparks,Washington Mystics,"Walter Pyramid at Long Beach State Long Beach, CA",11:00PM GMT-3
2024-05-22,Seattle Storm,Indiana Fever,"Climate Pledge Arena Seattle, WA",11:00PM GMT-3
2024-05-23,Connecticut Sun,Minnesota Lynx,"Mohegan Sun Arena Uncasville, CT",8:00PM GMT-3
2024-05-23,New York Liberty,Chicago Sky,"Barclays Center Brooklyn, NY",8:00PM GMT-3
2024-05-23,Phoenix Mercury,Washington Mystics,"Footprint Center Phoenix, AZ",11:00PM GMT-3
2024-05-24,Los Angeles Sparks,Indiana Fever,"Walter Pyramid at Long Beach State Long Beach, CA",11:00PM GMT-3
2024-05-25,Minnesota Lynx,New York Liberty,"Target Center Minneapolis, MN",2:00PM GMT-3
2024-05-25,Chicago Sky,Connecticut Sun,"Wintrust Arena Chicago, IL",9:00PM GMT-3
2024-05-25,Las Vegas Aces,Indiana Fever,"Michelob ULTRA Arena Las Vegas, NV",10:00PM GMT-3
2024-05-25,Seattle Storm,Washington Mystics,"Climate Pledge Arena Seattle, WA",10:00PM GMT-3
2024-05-25,Phoenix Mercury,Dallas Wings,"Footprint Center Phoenix, AZ",11:00PM GMT-3
2024-05-26,Atlanta Dream,Minnesota Lynx,"Gateway Center Arena @ College Park Atlanta, GA",7:00PM GMT-3
2024-05-26,Los Angeles Sparks,Dallas Wings,"Walter Pyramid at Long Beach State Long Beach, CA",10:00PM GMT-3
2024-05-28,Connecticut Sun,Phoenix Mercury,"Mohegan Sun Arena Uncasville, CT",8:00PM GMT-3
2024-05-28,Indiana Fever,Los Angeles Sparks,"Gainbridge Fieldhouse Indianapolis, IN",8:00PM GMT-3
2024-05-28,Chicago Sky,Seattle Storm,"Wintrust Arena Chicago, IL",9:00PM GMT-3
2024-05-29,New York Liberty,Phoenix Mercury,"Barclays Center Brooklyn, NY",8:00PM GMT-3
2024-05-29,Washington Mystics,Atlanta Dream,"Entertainment and Sports Arena Washington, DC",8:00PM GMT-3
2024-05-29,Minnesota Lynx,Las Vegas Aces,"Target Center Minneapolis, MN",9:00PM GMT-3
2024-05-30,Indiana Fever,Seattle Storm,"Gainbridge Fieldhouse Indianapolis, IN",8:00PM GMT-3
2024-05-30,Chicago Sky,Los Angeles Sparks,"Wintrust Arena Chicago, IL",9:00PM GMT-3
2024-05-31,Atlanta Dream,Las Vegas Aces,"Gateway Center Arena @ College Park Atlanta, GA",8:30PM GMT-3
2024-05-31,Connecticut Sun,Dallas Wings,"Mohegan Sun Arena Uncasville, CT",8:30PM GMT-3
2024-05-31,New York Liberty,Washington Mystics,"Barclays Center Brooklyn, NY",8:30PM GMT-3
2024-05-31,Minnesota Lynx,Phoenix Mercury,"Target Center Minneapolis, MN",10:30PM GMT-3
2024-06-01,Indiana Fever,Chicago Sky,"Gainbridge Fieldhouse Indianapolis, IN",2:00PM GMT-3
2024-06-02,Atlanta Dream,Connecticut Sun,"Gateway Center Arena @ College Park Atlanta, GA",4:00PM GMT-3
2024-06-02,New York Liberty,Indiana Fever,"Barclays Center Brooklyn, NY",8:00PM GMT-3
2024-06-02,Minnesota Lynx,Dallas Wings,"Target Center Minneapolis, MN",8:00PM GMT-3
2024-06-02,Phoenix Mercury,Los Angeles Sparks,"Footprint Center Phoenix, AZ",10:00PM GMT-3
2024-06-04,Connecticut Sun,Washington Mystics,"Mohegan Sun Arena Uncasville, CT",8:00PM GMT-3
2024-06-04,Chicago Sky,New York Liberty,"Wintrust Arena Chicago, IL",9:00PM GMT-3
2024-06-04,Seattle Storm,Phoenix Mercury,"Climate Pledge Arena Seattle, WA",11:00PM GMT-3
2024-06-05,Dallas Wings,Las Vegas Aces,"College Park Center Arlington, TX",9:00PM GMT-3
2024-06-05,Los Angeles Sparks,Minnesota Lynx,"Walter Pyramid at Long Beach State Long Beach, CA",11:00PM GMT-3
2024-06-06,Washington Mystics,Chicago Sky,"Entertainment and Sports Arena Washington, DC",8:00PM GMT-3
2024-06-06,Atlanta Dream,New York Liberty,"Gateway Center Arena @ College Park Atlanta, GA",8:30PM GMT-3
2024-06-07,Washington Mystics,Indiana Fever,"Entertainment and Sports Arena Washington, DC",8:30PM GMT-3
2024-06-07,Las Vegas Aces,Seattle Storm,"Michelob ULTRA Arena Las Vegas, NV",11:00PM GMT-3
2024-06-07,Los Angeles Sparks,Dallas Wings,"Crypto.com Arena Los Angeles, CA",11:00PM GMT-3
2024-06-07,Phoenix Mercury,Minnesota Lynx,"Footprint Center Phoenix, AZ",11:00PM GMT-3
2024-06-08,Connecticut Sun,New York Liberty,"Mohegan Sun Arena Uncasville, CT",2:00PM GMT-3
2024-06-08,Chicago Sky,Atlanta Dream,"Wintrust Arena Chicago, IL",6:00PM GMT-3
2024-06-09,New York Liberty,Washington Mystics,"Barclays Center Brooklyn, NY",4:00PM GMT-3
2024-06-09,Dallas Wings,Phoenix Mercury,"College Park Center Arlington, TX",5:00PM GMT-3
2024-06-09,Minnesota Lynx,Seattle Storm,"Target Center Minneapolis, MN",8:00PM GMT-3
2024-06-09,Los Angeles Sparks,Las Vegas Aces,"Crypto.com Arena Los Angeles, CA",10:00PM GMT-3
2024-06-10,Connecticut Sun,Indiana Fever,"Mohegan Sun Arena Uncasville, CT",8:00PM GMT-3
2024-06-11,Atlanta Dream,Washington Mystics,"Gateway Center Arena @ College Park Atlanta, GA",8:30PM GMT-3
2024-06-11,Las Vegas Aces,Minnesota Lynx,"Michelob ULTRA Arena Las Vegas, NV",11:00PM GMT-3
2024-06-11,Seattle Storm,Los Angeles Sparks,"Climate Pledge Arena Seattle, WA",11:00PM GMT-3
2024-06-12,Chicago Sky,Connecticut Sun,"Wintrust Arena Chicago, IL",9:00PM GMT-3
2024-06-13,Indiana Fever,Atlanta Dream,"Gainbridge Fieldhouse Indianapolis, IN",8:00PM GMT-3
2024-06-13,Dallas Wings,Seattle Storm,"College Park Center Arlington, TX",8:00PM GMT-3
2024-06-13,Phoenix Mercury,Las Vegas Aces,"Footprint Center Phoenix, AZ",11:00PM GMT-3
2024-06-14,Washington Mystics,Chicago Sky,"Entertainment and Sports Arena Washington, DC",8:30PM GMT-3
2024-06-14,Minnesota Lynx,Los Angeles Sparks,"Target Center Minneapolis, MN",8:30PM GMT-3
2024-06-15,Dallas Wings,Connecticut Sun,"College Park Center Arlington, TX",2:00PM GMT-3
2024-06-15,Las Vegas Aces,New York Liberty,"Michelob ULTRA Arena Las Vegas, NV",4:00PM GMT-3
2024-06-15,Phoenix Mercury,Seattle Storm,"Footprint Center Phoenix, AZ",11:00PM GMT-3
2024-06-16,Indiana Fever,Chicago Sky,"Gainbridge Fieldhouse Indianapolis, IN",1:00PM GMT-3
2024-06-16,Atlanta Dream,Los Angeles Sparks,"Gateway Center Arena @ College Park Atlanta, GA",4:00PM GMT-3
2024-06-17,Minnesota Lynx,Dallas Wings,"Target Center Minneapolis, MN",9:00PM GMT-3
2024-06-18,Connecticut Sun,Los Angeles Sparks,"Mohegan Sun Arena Uncasville, CT",8:00PM GMT-3
2024-06-18,Phoenix Mercury,New York Liberty,"Footprint Center Phoenix, AZ",11:00PM GMT-3
2024-06-19,Indiana Fever,Washington Mystics,"Gainbridge Fieldhouse Indianapolis, IN",8:00PM GMT-3
2024-06-19,Minnesota Lynx,Atlanta Dream,"Target Center Minneapolis, MN",9:00PM GMT-3
2024-06-19,Las Vegas Aces,Seattle Storm,"Michelob ULTRA Arena Las Vegas, NV",11:00PM GMT-3
2024-06-20,Chicago Sky,Dallas Wings,"Wintrust Arena Chicago, IL",1:00PM GMT-3
2024-06-20,New York Liberty,Los Angeles Sparks,"Barclays Center Brooklyn, NY",8:00PM GMT-3
2024-06-21,Atlanta Dream,Indiana Fever,"Gateway Center Arena @ College Park Atlanta, GA",8:30PM GMT-3
2024-06-21,Las Vegas Aces,Connecticut Sun,"Michelob ULTRA Arena Las Vegas, NV",11:00PM GMT-3
2024-06-22,Washington Mystics,Dallas Wings,"Entertainment and Sports Arena Washington, DC",4:00PM GMT-3
2024-06-22,New York Liberty,Los Angeles Sparks,"Barclays Center Brooklyn, NY",6:00PM GMT-3
2024-06-22,Minnesota Lynx,Phoenix Mercury,"Target Center Minneapolis, MN",9:00PM GMT-3
2024-06-23,Atlanta Dream,New York Liberty,"Gateway Center Arena @ College Park Atlanta, GA",4:00PM GMT-3
2024-06-23,Washington Mystics,Dallas Wings,"Entertainment and Sports Arena Washington, DC",4:00PM GMT-3
2024-06-23,Chicago Sky,Indiana Fever,"Wintrust Arena Chicago, IL",7:00PM GMT-3
2024-06-23,Seattle Storm,Connecticut Sun,"Climate Pledge Arena Seattle, WA",7:00PM GMT-3
2024-06-27,Dallas Wings,Minnesota Lynx,"College Park Center Arlington, TX",2:00PM GMT-3
2024-06-27,Washington Mystics,Connecticut Sun,"Entertainment and Sports Arena Washington, DC",8:00PM GMT-3
2024-06-27,Chicago Sky,Las Vegas Aces,"Wintrust Arena Chicago, IL",8:00PM GMT-3
2024-06-27,Seattle Storm,Indiana Fever,"Climate Pledge Arena Seattle, WA",11:00PM GMT-3
2024-06-28,Connecticut Sun,Atlanta Dream,"Mohegan Sun Arena Uncasville, CT",8:30PM GMT-3
2024-06-28,Phoenix Mercury,Los Angeles Sparks,"Footprint Center Phoenix, AZ",11:00PM GMT-3
2024-06-29,Washington Mystics,Las Vegas Aces,"Entertainment and Sports Arena Washington, DC",3:00PM GMT-3
2024-06-29,Seattle Storm,Dallas Wings,"Climate Pledge Arena Seattle, WA",10:00PM GMT-3
2024-06-30,New York Liberty,Atlanta Dream,"Barclays Center Brooklyn, NY",2:00PM GMT-3
2024-06-30,Chicago Sky,Minnesota Lynx,"Wintrust Arena Chicago, IL",4:00PM GMT-3
2024-06-30,Phoenix Mercury,Indiana Fever,"Footprint Center Phoenix, AZ",4:00PM GMT-3
2024-07-01,Phoenix Mercury,Connecticut Sun,"Footprint Center Phoenix, AZ",11:00PM GMT-3
2024-07-01,Seattle Storm,Dallas Wings,"Climate Pledge Arena Seattle, WA",11:00PM GMT-3
2024-07-02,New York Liberty,Minnesota Lynx,"Barclays Center Brooklyn, NY",8:00PM GMT-3
2024-07-02,Atlanta Dream,Chicago Sky,"Gateway Center Arena @ College Park Atlanta, GA",8:30PM GMT-3
2024-07-02,Las Vegas Aces,Indiana Fever,"Michelob ULTRA Arena Las Vegas, NV",11:00PM GMT-3
2024-07-02,Los Angeles Sparks,Washington Mystics,"Crypto.com Arena Los Angeles, CA",11:00PM GMT-3
2024-07-03,Dallas Wings,Phoenix Mercury,"College Park Center Arlington, TX",9:00PM GMT-3
2024-07-04,Minnesota Lynx,Connecticut Sun,"Target Center Minneapolis, MN",9:00PM GMT-3
2024-07-04,Las Vegas Aces,Washington Mystics,"Michelob ULTRA Arena Las Vegas, NV",11:00PM GMT-3
2024-07-05,Dallas Wings,Atlanta Dream,"College Park Center Arlington, TX",8:30PM GMT-3
2024-07-05,Los Angeles Sparks,Las Vegas Aces,"Crypto.com Arena Los Angeles, CA",11:00PM GMT-3
2024-07-05,Seattle Storm,Chicago Sky,"Climate Pledge Arena Seattle, WA",11:00PM GMT-3
2024-07-06,Indiana Fever,New York Liberty,"Gainbridge Fieldhouse Indianapolis, IN",2:00PM GMT-3
2024-07-06,Minnesota Lynx,Washington Mystics,"Target Center Minneapolis, MN",4:00PM GMT-3
2024-07-07,Connecticut Sun,Atlanta Dream,"Mohegan Sun Arena Uncasville, CT",2:00PM GMT-3
2024-07-07,Las Vegas Aces,Dallas Wings,"Michelob ULTRA Arena Las Vegas, NV",4:00PM GMT-3
2024-07-07,Seattle Storm,Chicago Sky,"Climate Pledge Arena Seattle, WA",7:00PM GMT-3
2024-07-07,Los Angeles Sparks,Phoenix Mercury,"Crypto.com Arena Los Angeles, CA",8:00PM GMT-3
2024-07-09,Los Angeles Sparks,Minnesota Lynx,"Crypto.com Arena Los Angeles, CA",11:00PM GMT-3
2024-07-10,Connecticut Sun,New York Liberty,"Mohegan Sun Arena Uncasville, CT",12:00PM GMT-3
2024-07-10,Indiana Fever,Washington Mystics,"Gainbridge Fieldhouse Indianapolis, IN",1:00PM GMT-3
2024-07-10,Chicago Sky,Atlanta Dream,"Wintrust Arena Chicago, IL",1:00PM GMT-3
2024-07-10,Seattle Storm,Las Vegas Aces,"Climate Pledge Arena Seattle, WA",4:00PM GMT-3
2024-07-10,Phoenix Mercury,Dallas Wings,"Footprint Center Phoenix, AZ",4:30PM GMT-3
2024-07-11,New York Liberty,Chicago Sky,"Barclays Center Brooklyn, NY",8:00PM GMT-3
2024-07-12,Atlanta Dream,Las Vegas Aces,"Gateway Center Arena @ College Park Atlanta, GA",8:30PM GMT-3
2024-07-12,Indiana Fever,Phoenix Mercury,"Gainbridge Fieldhouse Indianapolis, IN",8:30PM GMT-3
2024-07-12,Seattle Storm,Minnesota Lynx,"Climate Pledge Arena Seattle, WA",11:00PM GMT-3
2024-07-13,Chicago Sky,New York Liberty,"Wintrust Arena Chicago, IL",2:00PM GMT-3
2024-07-13,Dallas Wings,Los Angeles Sparks,"College Park Center Arlington, TX",4:30PM GMT-3
2024-07-14,Connecticut Sun,Phoenix Mercury,"Mohegan Sun Arena Uncasville, CT",2:00PM GMT-3
2024-07-14,Washington Mystics,Las Vegas Aces,"Entertainment and Sports Arena Washington, DC",4:00PM GMT-3
2024-07-14,Seattle Storm,Atlanta Dream,"Climate Pledge Arena Seattle, WA",7:00PM GMT-3
2024-07-14,Minnesota Lynx,Indiana Fever,"Target Center Minneapolis, MN",8:00PM GMT-3
2024-07-16,Washington Mystics,Phoenix Mercury,"Capital One Arena Washington, DC",12:30PM GMT-3
2024-07-16,Los Angeles Sparks,Seattle Storm,"Crypto.com Arena Los Angeles, CA",4:30PM GMT-3
2024-07-16,New York Liberty,Connecticut Sun,"Barclays Center Brooklyn, NY",8:00PM GMT-3
2024-07-16,Las Vegas Aces,Chicago Sky,"Michelob ULTRA Arena Las Vegas, NV",11:00PM GMT-3
2024-07-17,Minnesota Lynx,Atlanta Dream,"Target Center Minneapolis, MN",2:00PM GMT-3
2024-07-17,Dallas Wings,Indiana Fever,"College Park Center Arlington, TX",9:00PM GMT-3
2024-07-20,WNBA Team WNBA,USABWNT USAB Women's Nat. Team,"Footprint Center Phoenix, AZ",9:30PM GMT-3
2024-08-15,Chicago Sky,Phoenix Mercury,"Wintrust Arena Chicago, IL",9:00PM GMT-3
2024-08-15,Minnesota Lynx,Washington Mystics,"Target Center Minneapolis, MN",9:00PM GMT-3
2024-08-15,Los Angeles Sparks,New York Liberty,"Crypto.com Arena Los Angeles, CA",11:00PM GMT-3
2024-08-16,Atlanta Dream,Seattle Storm,"Gateway Center Arena @ College Park Atlanta, GA",8:30PM GMT-3
2024-08-16,Indiana Fever,Phoenix Mercury,"Gainbridge Fieldhouse Indianapolis, IN",8:30PM GMT-3
2024-08-16,Dallas Wings,Connecticut Sun,"College Park Center Arlington, TX",10:30PM GMT-3
2024-08-17,Washington Mystics,Minnesota Lynx,"Entertainment and Sports Arena Washington, DC",3:00PM GMT-3
2024-08-17,Las Vegas Aces,New York Liberty,"Michelob ULTRA Arena Las Vegas, NV",5:00PM GMT-3
2024-08-17,Los Angeles Sparks,Chicago Sky,"Crypto.com Arena Los Angeles, CA",6:00PM GMT-3
2024-08-18,Atlanta Dream,Connecticut Sun,"Gateway Center Arena @ College Park Atlanta, GA",4:00PM GMT-3
2024-08-18,Las Vegas Aces,Los Angeles Sparks,"Michelob ULTRA Arena Las Vegas, NV",4:30PM GMT-3
2024-08-18,Indiana Fever,Seattle Storm,"Gainbridge Fieldhouse Indianapolis, IN",5:00PM GMT-3
2024-08-18,Phoenix Mercury,Chicago Sky,"Footprint Center Phoenix, AZ",10:00PM GMT-3
2024-08-20,Connecticut Sun,Los Angeles Sparks,"TD Garden Boston, MA",8:00PM GMT-3
2024-08-20,New York Liberty,Dallas Wings,"Barclays Center Brooklyn, NY",8:00PM GMT-3
2024-08-20,Washington Mystics,Seattle Storm,"Entertainment and Sports Arena Washington, DC",8:00PM GMT-3
2024-08-21,Atlanta Dream,Phoenix Mercury,"Gateway Center Arena @ College Park Atlanta, GA",8:30PM GMT-3
2024-08-21,Las Vegas Aces,Minnesota Lynx,"Michelob ULTRA Arena Las Vegas, NV",10:30PM GMT-3
2024-08-22,New York Liberty,Dallas Wings,"Barclays Center Brooklyn, NY",8:00PM GMT-3
2024-08-23,Atlanta Dream,Phoenix Mercury,"Gateway Center Arena @ College Park Atlanta, GA",8:30PM GMT-3
2024-08-23,Connecticut Sun,Chicago Sky,"Mohegan Sun Arena Uncasville, CT",8:30PM GMT-3
2024-08-23,Washington Mystics,Los Angeles Sparks,"Entertainment and Sports Arena Washington, DC",8:30PM GMT-3
2024-08-23,Minnesota Lynx,Las Vegas Aces,"Target Center Minneapolis, MN",10:30PM GMT-3
2024-08-24,New York Liberty,Connecticut Sun,"Barclays Center Brooklyn, NY",8:00PM GMT-3
2024-08-24,Minnesota Lynx,Indiana Fever,"Target Center Minneapolis, MN",9:00PM GMT-3
2024-08-25,Chicago Sky,Las Vegas Aces,"Wintrust Arena Chicago, IL",1:00PM GMT-3
2024-08-25,Dallas Wings,Los Angeles Sparks,"College Park Center Arlington, TX",5:00PM GMT-3
2024-08-26,Atlanta Dream,Indiana Fever,"Gateway Center Arena @ College Park Atlanta, GA",8:30PM GMT-3
2024-08-26,Phoenix Mercury,New York Liberty,"Footprint Center Phoenix, AZ",11:00PM GMT-3
2024-08-26,Seattle Storm,Washington Mystics,"Climate Pledge Arena Seattle, WA",11:00PM GMT-3
2024-08-27,Dallas Wings,Las Vegas Aces,"College Park Center Arlington, TX",9:00PM GMT-3
2024-08-28,Indiana Fever,Connecticut Sun,"Gainbridge Fieldhouse Indianapolis, IN",8:00PM GMT-3
2024-08-28,Chicago Sky,Washington Mystics,"Wintrust Arena Chicago, IL",9:00PM GMT-3
2024-08-28,Los Angeles Sparks,New York Liberty,"Crypto.com Arena Los Angeles, CA",11:00PM GMT-3
2024-08-28,Phoenix Mercury,Minnesota Lynx,"Footprint Center Phoenix, AZ",11:00PM GMT-3
2024-08-28,Seattle Storm,Atlanta Dream,"Climate Pledge Arena Seattle, WA",11:00PM GMT-3
2024-08-30,Chicago Sky,Indiana Fever,"Wintrust Arena Chicago, IL",8:30PM GMT-3
2024-08-30,Dallas Wings,Minnesota Lynx,"College Park Center Arlington, TX",8:30PM GMT-3
2024-08-30,Las Vegas Aces,Atlanta Dream,"Michelob ULTRA Arena Las Vegas, NV",11:00PM GMT-3
